shipment_id,source_warehouse,destination_region,carrier,dispatch_date,expected_delivery_days,actual_delivery_days,delay_flag,logistics_cost
SHIP0003298,WH02,North,,2022-09-28,7,25,1,15000
SHIP0003299,,north ,BlueDart,2024-05-20,2,1,0,2000
SHIP0003300,WH01,SOUTH,Delhivery,2024-11-24,5,25,,500
SHIP0003301,WH02,,BlueDart,2022-12-22,2,1,0,-100
SHIP0003302,,north ,FedEx,2022-12-24,5,1,0,500
SHIP0003303,wh-02,SOUTH,BlueDart,2022-08-02,,25,1,
SHIP0003304,,north ,BlueDart,2023-03-21,7,1,1,15000
SHIP0003305,,SOUTH,Delhivery,2024-05-09,5,3,1,2000
SHIP0003306,WH01,north ,Delhivery,2022-07-13,5,,0,-100
SHIP0003307,,north ,BlueDart,2024-11-01,2,25,0,
SHIP0003308,,,BlueDart,2024-01-16,2,3,0,-100
SHIP0003309,WH02,North,Delhivery,2022-07-17,,,1,
SHIP0003310,wh-02,SOUTH,,2023-10-04,5,1,0,
SHIP0003311,WH02,north ,,2022-11-28,2,10,0,
SHIP0003312,,north ,,2024-04-01,7,1,0,
SHIP0003313,WH02,SOUTH,Delhivery,2022-02-03,5,,1,
SHIP0003314,WH01,North,Delhivery,2023-11-03,2,,,
SHIP0003315,WH02,,Delhivery,2022-08-13,7,,,
SHIP0003316,WH01,,BlueDart,2022-10-14,,3,1,15000
SHIP0003317,,north ,FedEx,2023-07-18,7,,,2000
SHIP0003318,,North,BlueDart,2022-09-13,,,0,2000
SHIP0003319,,SOUTH,BlueDart,2022-04-06,,,0,2000
SHIP0003320,wh-02,North,DHL,2024-09-11,,,,15000
SHIP0003321,WH01,SOUTH,DHL,2023-06-01,2,25,,2000
SHIP0003322,WH02,SOUTH,,2024-11-23,7,3,1,-100
SHIP0003323,wh-02,,Delhivery,2024-10-18,,10,,2000
SHIP0003324,,North,Delhivery,2024-12-30,,25,1,500
SHIP0003325,WH01,,FedEx,2023-11-28,2,3,0,2000
SHIP0003326,,North,FedEx,2022-07-30,7,1,0,-100
SHIP0003327,WH02,SOUTH,FedEx,2022-10-23,5,3,0,2000
SHIP0003328,,SOUTH,FedEx,2023-08-11,5,10,0,
SHIP0003329,WH01,north ,Delhivery,2024-10-29,2,10,1,
SHIP0003330,WH02,North,,2023-05-23,5,25,,500
SHIP0003331,WH02,North,FedEx,2022-02-02,,25,0,-100
SHIP0003332,WH01,,Delhivery,2022-10-30,2,1,1,-100
SHIP0003333,wh-02,SOUTH,Delhivery,2024-09-02,7,25,,2000
SHIP0003334,WH02,SOUTH,,2023-02-04,7,25,,2000
SHIP0003335,WH01,SOUTH,DHL,2024-09-30,5,3,,
SHIP0003336,,,BlueDart,2024-03-27,7,3,1,15000
SHIP0003337,wh-02,North,DHL,2023-02-19,5,10,1,
SHIP0003338,WH02,SOUTH,,2024-03-28,5,25,0,-100
SHIP0003339,wh-02,SOUTH,,2022-03-14,2,,1,15000
SHIP0003340,,,Delhivery,2023-04-30,,1,0,-100
SHIP0003341,WH02,SOUTH,DHL,2024-10-17,5,3,1,2000
SHIP0003342,wh-02,north ,,2022-01-11,,1,,15000
SHIP0003343,WH02,North,FedEx,2024-05-21,,,1,500
SHIP0003344,WH01,North,BlueDart,2023-10-29,2,,1,2000
SHIP0003345,WH02,,Delhivery,2022-12-25,7,25,1,
SHIP0003346,WH02,North,BlueDart,2024-06-14,7,3,,-100
SHIP0003347,WH02,SOUTH,Delhivery,2023-12-17,7,,1,500
SHIP0003348,WH01,North,FedEx,2022-08-27,5,10,,15000
SHIP0003349,WH02,,FedEx,2024-03-12,,25,1,-100
SHIP0003350,WH02,SOUTH,,2024-08-28,7,25,,500
SHIP0003351,WH02,north ,BlueDart,2023-07-14,5,10,0,
SHIP0003352,,north ,FedEx,2022-03-04,7,25,1,-100
SHIP0003353,WH01,,Delhivery,2023-12-29,5,,0,2000
SHIP0003354,,SOUTH,FedEx,2024-07-23,,25,0,
SHIP0003355,,,DHL,2023-08-15,5,,,2000
SHIP0003356,WH02,,Delhivery,2024-12-25,,,,15000
SHIP0003357,WH02,North,BlueDart,2024-10-21,7,,1,500
SHIP0003358,,SOUTH,DHL,2023-01-30,2,10,,-100
SHIP0003359,,,BlueDart,2023-09-18,7,1,,15000
SHIP0003360,WH01,North,FedEx,2022-04-07,2,1,,-100
SHIP0003361,WH01,,,2023-11-10,2,,1,
SHIP0003362,WH02,North,FedEx,2022-03-28,,,,
SHIP0003363,WH01,north ,,2024-04-03,,10,0,15000
SHIP0003364,WH01,North,FedEx,2022-01-05,,25,1,500
SHIP0003365,WH01,SOUTH,Delhivery,2024-04-16,5,3,,15000
SHIP0003366,wh-02,,Delhivery,2023-03-24,2,25,1,-100
SHIP0003367,WH02,north ,DHL,2022-11-05,7,25,1,500
SHIP0003368,WH01,,DHL,2022-12-12,2,,1,500
SHIP0003369,wh-02,,BlueDart,2023-11-29,2,1,,500
SHIP0003370,,north ,FedEx,2023-05-04,7,3,1,-100
SHIP0003371,,SOUTH,DHL,2022-08-29,,10,0,500
SHIP0003372,wh-02,North,,2022-03-01,2,25,1,15000
SHIP0003373,wh-02,North,DHL,2024-04-17,,25,1,15000
SHIP0003374,WH01,SOUTH,Delhivery,2022-11-14,,,0,500
SHIP0003375,wh-02,North,BlueDart,2023-11-01,5,25,,2000
SHIP0003376,WH02,North,Delhivery,2024-09-15,,25,,2000
SHIP0003377,WH02,SOUTH,FedEx,2024-07-17,5,1,0,
SHIP0003378,WH01,north ,Delhivery,2024-11-07,7,10,0,2000
SHIP0003379,WH01,North,Delhivery,2023-01-29,7,1,1,-100
SHIP0003380,WH02,SOUTH,DHL,2022-04-04,2,3,,500
SHIP0003381,WH01,North,BlueDart,2023-12-20,,1,,-100
SHIP0003382,,north ,DHL,2024-05-28,,,0,-100
SHIP0003383,,,BlueDart,2022-01-07,,25,0,500
SHIP0003384,WH02,SOUTH,Delhivery,2022-12-03,7,,,2000
SHIP0003385,,North,,2024-02-23,2,10,1,
SHIP0003386,wh-02,north ,DHL,2023-05-28,2,,,
SHIP0003387,WH02,SOUTH,FedEx,2024-04-10,7,,1,15000
SHIP0003388,WH01,SOUTH,BlueDart,2024-11-02,2,3,,2000
SHIP0003389,wh-02,North,FedEx,2022-12-29,,25,0,-100
SHIP0003390,WH02,,FedEx,2023-08-10,2,1,1,-100
SHIP0003391,WH01,North,FedEx,2024-03-06,,,1,-100
SHIP0003392,wh-02,,BlueDart,2024-01-25,2,1,1,15000
SHIP0003393,WH02,north ,FedEx,2022-09-08,2,25,,2000
SHIP0003394,wh-02,,FedEx,2023-10-29,7,,0,2000
SHIP0003395,WH01,North,BlueDart,2024-12-31,,1,1,500
SHIP0003396,WH02,North,Delhivery,2022-09-30,5,3,0,
SHIP0003397,wh-02,North,,2024-04-05,,,0,15000
SHIP0003398,WH01,SOUTH,FedEx,2024-03-16,5,3,1,15000
SHIP0003399,WH02,north ,BlueDart,2023-09-28,,,,2000
SHIP0003400,wh-02,SOUTH,BlueDart,2023-02-06,2,3,,500
SHIP0003401,,north ,BlueDart,2022-06-26,7,,0,2000
SHIP0003402,WH02,SOUTH,,2022-01-02,2,10,,
SHIP0003403,,,BlueDart,2024-04-21,5,25,1,15000
SHIP0003404,WH02,North,,2023-10-02,7,,0,
SHIP0003405,wh-02,north ,Delhivery,2024-02-02,5,1,0,-100
SHIP0003406,wh-02,SOUTH,,2022-09-28,7,,0,500
SHIP0003407,wh-02,North,DHL,2023-01-03,2,3,0,
SHIP0003408,,,Delhivery,2022-09-24,7,3,1,2000
SHIP0003409,WH01,SOUTH,Delhivery,2023-09-25,,3,0,500
SHIP0003410,WH01,,DHL,2023-06-26,7,10,,
SHIP0003411,WH01,SOUTH,BlueDart,2022-05-06,7,3,0,-100
SHIP0003412,wh-02,SOUTH,BlueDart,2022-01-07,5,,,500
SHIP0003413,,North,DHL,2024-05-02,,3,1,15000
SHIP0003414,wh-02,north ,BlueDart,2022-10-18,5,1,,15000
SHIP0003415,,north ,FedEx,2022-07-11,5,3,0,
SHIP0003416,,,Delhivery,2023-01-07,,3,0,
SHIP0003417,WH01,north ,BlueDart,2022-02-16,5,10,,500
SHIP0003418,WH01,,Delhivery,2024-05-18,5,10,0,
SHIP0003419,wh-02,North,FedEx,2024-01-14,5,10,0,2000
SHIP0003420,WH02,North,DHL,2022-05-05,2,1,,500
SHIP0003421,wh-02,north ,,2023-08-12,7,10,,2000
SHIP0003422,,,BlueDart,2024-03-24,,,,2000
SHIP0003423,,,BlueDart,2024-11-02,,10,,-100
SHIP0003424,WH01,,DHL,2022-10-17,2,1,,2000
SHIP0003425,WH02,,BlueDart,2024-09-15,2,10,0,2000
SHIP0003426,wh-02,North,DHL,2022-03-20,,1,0,
SHIP0003427,wh-02,SOUTH,,2022-09-21,5,25,0,
SHIP0003428,wh-02,SOUTH,FedEx,2023-04-17,2,3,1,2000
SHIP0003429,WH02,North,Delhivery,2022-06-17,5,,0,-100
SHIP0003430,WH01,SOUTH,Delhivery,2024-12-25,2,1,1,500
SHIP0003431,,North,,2023-06-04,5,3,,500
SHIP0003432,wh-02,SOUTH,,2024-03-22,5,25,,
SHIP0003433,WH02,north ,Delhivery,2023-10-04,5,1,,
SHIP0003434,WH02,SOUTH,FedEx,2023-03-07,5,3,0,15000
SHIP0003435,,SOUTH,DHL,2024-03-20,7,10,1,-100
SHIP0003436,wh-02,North,BlueDart,2022-09-29,,25,0,
SHIP0003437,,SOUTH,DHL,2023-12-18,,25,,-100
SHIP0003438,,north ,DHL,2022-12-27,,1,0,-100
SHIP0003439,WH02,North,DHL,2022-10-08,5,3,,
SHIP0003440,WH02,SOUTH,DHL,2023-05-30,5,,0,15000
SHIP0003441,,north ,FedEx,2022-10-17,7,,0,-100
SHIP0003442,WH02,,DHL,2023-12-01,,3,0,15000
SHIP0003443,WH02,SOUTH,Delhivery,2022-10-12,7,,0,
SHIP0003444,WH02,SOUTH,Delhivery,2023-05-06,2,,,2000
SHIP0003445,WH01,north ,Delhivery,2022-12-21,,3,0,2000
SHIP0003446,,North,DHL,2022-10-24,7,,1,500
SHIP0003447,,,DHL,2024-12-22,5,1,,
SHIP0003448,wh-02,SOUTH,DHL,2022-04-21,2,,,15000
SHIP0003449,WH02,SOUTH,FedEx,2023-02-03,7,10,1,15000
SHIP0003450,WH02,north ,,2023-08-22,,25,1,2000
SHIP0003451,WH01,SOUTH,BlueDart,2024-11-20,2,3,,2000
SHIP0003452,,SOUTH,FedEx,2023-03-02,2,25,1,500
SHIP0003453,wh-02,north ,DHL,2022-09-26,2,3,,2000
SHIP0003454,WH02,north ,FedEx,2023-05-09,2,10,0,2000
SHIP0003455,WH01,north ,,2023-03-05,5,3,,
SHIP0003456,WH01,north ,DHL,2024-12-05,2,25,,-100
SHIP0003457,WH02,SOUTH,,2024-06-24,7,3,0,15000
SHIP0003458,WH02,,Delhivery,2024-03-19,,,,-100
SHIP0003459,WH01,North,Delhivery,2024-05-07,,3,0,500
SHIP0003460,WH01,North,DHL,2024-10-06,5,,,
SHIP0003461,,north ,Delhivery,2022-05-03,2,,,2000
SHIP0003462,WH02,,FedEx,2023-12-30,2,1,0,
SHIP0003463,WH02,North,FedEx,2024-04-24,7,,,15000
SHIP0003464,WH01,,Delhivery,2022-05-15,5,3,,15000
SHIP0003465,,SOUTH,Delhivery,2022-01-28,7,1,,-100
SHIP0003466,wh-02,,Delhivery,2024-05-24,2,10,0,-100
SHIP0003467,WH01,North,FedEx,2022-01-26,,25,,500
SHIP0003468,wh-02,North,Delhivery,2022-02-01,,10,1,2000
SHIP0003469,WH02,,Delhivery,2022-06-09,,3,0,
SHIP0003470,wh-02,north ,BlueDart,2022-04-19,5,,1,15000
SHIP0003471,WH01,North,FedEx,2022-04-01,,1,0,
SHIP0003472,WH02,SOUTH,Delhivery,2023-01-23,,,0,
SHIP0003473,WH01,North,,2022-09-18,7,,,
SHIP0003474,,,Delhivery,2022-12-21,5,3,,15000
SHIP0003475,wh-02,North,,2024-09-04,2,10,,15000
SHIP0003476,WH01,North,DHL,2022-01-02,7,10,0,2000
SHIP0003477,,north ,DHL,2024-03-20,2,1,,15000
SHIP0003478,wh-02,North,BlueDart,2022-04-15,,,0,15000
SHIP0003479,wh-02,,,2022-05-09,7,10,,15000
SHIP0003480,wh-02,SOUTH,DHL,2022-08-15,7,1,,-100
SHIP0003481,WH02,north ,BlueDart,2023-02-23,5,10,1,500
SHIP0003482,WH02,north ,DHL,2023-10-28,2,1,1,500
SHIP0003483,,SOUTH,Delhivery,2024-04-08,5,1,1,
SHIP0003484,wh-02,north ,Delhivery,2023-03-21,7,10,0,2000
SHIP0003485,wh-02,north ,,2022-09-22,,3,,15000
SHIP0003486,,north ,BlueDart,2023-06-10,2,1,1,-100
SHIP0003487,wh-02,north ,FedEx,2024-10-29,7,1,0,-100
SHIP0003488,wh-02,SOUTH,FedEx,2024-08-07,7,25,0,15000
SHIP0003489,wh-02,North,BlueDart,2022-10-26,7,3,,
SHIP0003490,,North,FedEx,2022-08-31,5,10,0,15000
SHIP0003491,wh-02,SOUTH,FedEx,2022-11-26,2,,0,2000
SHIP0003492,,north ,DHL,2023-07-23,7,3,1,500
SHIP0003493,WH01,north ,BlueDart,2023-12-27,7,1,1,2000
SHIP0003494,wh-02,North,DHL,2023-08-25,,25,,500
SHIP0003495,WH01,SOUTH,Delhivery,2022-08-02,,25,0,2000
SHIP0003496,wh-02,,FedEx,2023-09-07,,3,1,15000
SHIP0003497,WH01,,FedEx,2023-06-09,7,10,1,-100
SHIP0003498,WH02,,,2024-08-10,7,,1,
SHIP0003499,WH01,North,BlueDart,2022-06-17,,10,,500
SHIP0003500,wh-02,north ,BlueDart,2024-11-17,7,10,0,2000
SHIP0003501,wh-02,,BlueDart,2022-10-14,2,25,1,2000
SHIP0003502,WH02,north ,FedEx,2022-05-05,7,25,0,2000
SHIP0003503,,north ,Delhivery,2023-04-12,5,25,1,-100
SHIP0003504,WH01,SOUTH,DHL,2024-05-28,2,,1,500
SHIP0003505,wh-02,north ,BlueDart,2022-09-04,7,25,0,500
SHIP0003506,wh-02,North,,2024-10-31,2,10,1,15000
SHIP0003507,,,,2023-09-20,7,10,0,-100
SHIP0003508,WH02,SOUTH,Delhivery,2022-05-20,5,,0,-100
SHIP0003509,WH01,North,Delhivery,2023-06-03,5,3,,500
SHIP0003510,wh-02,North,,2024-08-16,,1,1,500
SHIP0003511,,,DHL,2022-01-07,5,10,,2000
SHIP0003512,WH02,SOUTH,BlueDart,2023-03-31,,10,,15000
SHIP0003513,WH02,,FedEx,2024-06-03,7,1,,15000
SHIP0003514,WH02,north ,Delhivery,2023-07-05,,1,,
SHIP0003515,WH01,North,Delhivery,2023-03-05,7,25,0,-100
SHIP0003516,wh-02,North,,2022-06-18,7,3,,15000
SHIP0003517,WH01,north ,,2022-08-29,7,1,0,500
SHIP0003518,WH01,,Delhivery,2023-07-08,7,3,1,
SHIP0003519,WH02,North,Delhivery,2022-07-09,2,1,0,2000
SHIP0003520,WH01,,BlueDart,2024-08-12,7,3,,-100
SHIP0003521,wh-02,North,FedEx,2023-04-29,,10,0,
SHIP0003522,wh-02,north ,FedEx,2024-05-13,2,1,0,15000
SHIP0003523,,,Delhivery,2024-10-10,7,3,0,500
SHIP0003524,WH02,north ,DHL,2024-03-02,7,1,1,15000
SHIP0003525,wh-02,SOUTH,DHL,2023-12-07,,1,1,2000
SHIP0003526,wh-02,,Delhivery,2022-05-19,7,25,,
SHIP0003527,,SOUTH,Delhivery,2024-02-22,7,25,1,500
SHIP0003528,WH01,SOUTH,BlueDart,2024-01-19,7,,1,15000
SHIP0003529,WH02,,BlueDart,2022-10-19,7,,,
SHIP0003530,wh-02,,,2022-11-03,7,3,,15000
SHIP0003531,,,Delhivery,2022-11-28,5,3,,-100
SHIP0003532,WH01,north ,DHL,2022-05-22,5,3,0,500
SHIP0003533,wh-02,north ,,2023-02-09,7,3,1,500
SHIP0003534,WH02,North,DHL,2024-07-01,,3,,-100
SHIP0003535,,,BlueDart,2022-10-21,2,10,1,
SHIP0003536,WH02,north ,FedEx,2023-11-07,7,25,1,
SHIP0003537,WH02,North,FedEx,2022-09-23,5,25,,15000
SHIP0003538,WH01,SOUTH,,2022-10-17,2,3,,-100
SHIP0003539,wh-02,North,,2023-03-13,5,,1,-100
SHIP0003540,WH01,north ,DHL,2022-09-30,5,10,1,-100
SHIP0003541,WH01,SOUTH,,2024-07-16,7,3,,15000
SHIP0003542,wh-02,north ,FedEx,2023-06-24,7,10,,
SHIP0003543,,north ,BlueDart,2022-06-22,7,25,,15000
SHIP0003544,,north ,FedEx,2024-03-19,2,25,,
SHIP0003545,,SOUTH,Delhivery,2024-11-05,7,25,,500
SHIP0003546,WH02,SOUTH,Delhivery,2024-12-28,7,10,1,15000
SHIP0003547,wh-02,North,BlueDart,2023-12-11,,,0,-100
SHIP0003548,,North,BlueDart,2024-06-18,,25,1,2000
SHIP0003549,WH02,North,BlueDart,2022-08-25,5,,1,2000
SHIP0003550,WH01,north ,FedEx,2024-12-01,2,1,,
SHIP0003551,wh-02,SOUTH,FedEx,2022-11-17,2,10,0,
SHIP0003552,,North,DHL,2023-12-02,7,1,1,15000
SHIP0003553,wh-02,north ,Delhivery,2023-10-07,,1,1,
SHIP0003554,WH02,SOUTH,BlueDart,2022-06-12,2,1,,500
SHIP0003555,WH01,north ,,2023-01-24,,3,1,500
SHIP0003556,,North,DHL,2023-06-07,2,25,0,500
SHIP0003557,,North,Delhivery,2022-11-06,,25,1,2000
SHIP0003558,wh-02,SOUTH,DHL,2024-09-10,,10,0,-100
SHIP0003559,,,FedEx,2023-09-14,,1,0,15000
SHIP0003560,,North,,2022-09-06,2,,0,-100
SHIP0003561,wh-02,North,Delhivery,2023-03-01,,10,0,15000
SHIP0003562,WH02,North,BlueDart,2022-12-23,,3,1,-100
SHIP0003563,,north ,,2022-12-16,5,10,0,500
SHIP0003564,WH01,SOUTH,DHL,2023-10-29,5,25,1,2000
SHIP0003565,WH01,north ,BlueDart,2024-09-18,,10,1,2000
SHIP0003566,WH02,north ,,2024-03-22,2,3,,
SHIP0003567,WH01,North,BlueDart,2022-06-18,5,,,2000
SHIP0003568,wh-02,,,2022-09-24,,,,
SHIP0003569,WH02,North,FedEx,2023-05-11,5,,1,15000
SHIP0003570,wh-02,north ,DHL,2022-04-04,7,1,,2000
SHIP0003571,,north ,Delhivery,2022-04-18,,25,0,
SHIP0003572,,north ,BlueDart,2023-06-24,5,10,1,2000
SHIP0003573,wh-02,,DHL,2023-05-01,7,10,,-100
SHIP0003574,WH01,,DHL,2024-08-30,5,,,-100
SHIP0003575,,,DHL,2023-01-24,7,1,,-100
SHIP0003576,WH01,SOUTH,BlueDart,2023-12-12,2,1,1,2000
SHIP0003577,wh-02,SOUTH,FedEx,2022-01-11,2,25,0,500
SHIP0003578,,north ,FedEx,2024-01-21,5,10,0,2000
SHIP0003579,,,BlueDart,2023-12-05,5,3,1,2000
SHIP0003580,WH01,north ,FedEx,2022-01-07,2,1,0,
SHIP0003581,WH01,SOUTH,,2022-11-28,7,3,0,
SHIP0003582,wh-02,,FedEx,2023-07-31,2,1,,2000
SHIP0003583,WH01,SOUTH,,2024-12-26,2,1,1,
SHIP0003584,WH02,,Delhivery,2023-11-20,,10,1,15000
SHIP0003585,,north ,BlueDart,2023-06-10,5,3,0,
SHIP0003586,WH01,,BlueDart,2022-01-07,7,,,
SHIP0003587,,north ,BlueDart,2022-05-12,2,25,0,
SHIP0003588,wh-02,North,DHL,2022-09-25,2,10,0,
SHIP0003589,WH01,SOUTH,FedEx,2022-07-08,5,,0,500
SHIP0003590,WH01,North,Delhivery,2022-03-13,,25,,-100
SHIP0003591,wh-02,North,Delhivery,2024-10-25,7,25,,500
SHIP0003592,wh-02,SOUTH,DHL,2023-04-03,7,25,0,-100
SHIP0003593,,North,DHL,2023-10-10,2,3,0,15000
SHIP0003594,wh-02,SOUTH,Delhivery,2023-04-30,2,,,
SHIP0003595,WH01,North,Delhivery,2024-10-27,2,10,,-100
SHIP0003596,WH02,,DHL,2024-08-01,,3,,2000
SHIP0003597,,SOUTH,BlueDart,2022-08-31,5,25,1,2000
SHIP0003598,,,,2024-02-20,,,1,
SHIP0003599,WH02,,BlueDart,2023-05-10,2,1,0,2000
SHIP0003600,,,DHL,2024-11-02,5,25,,-100
SHIP0003601,WH01,north ,DHL,2024-04-20,,25,,-100
SHIP0003602,wh-02,North,,2024-02-23,2,,1,
SHIP0003603,,north ,FedEx,2023-06-06,5,25,1,
SHIP0003604,WH01,,FedEx,2023-09-09,5,,1,
SHIP0003605,,North,DHL,2022-03-31,5,,,15000
SHIP0003606,WH01,North,Delhivery,2023-01-29,5,3,1,
SHIP0003607,WH01,SOUTH,DHL,2024-08-17,2,1,0,-100
SHIP0003608,wh-02,SOUTH,BlueDart,2024-04-29,5,1,,15000
SHIP0003609,WH02,north ,DHL,2024-09-26,,25,1,500
SHIP0003610,wh-02,,FedEx,2023-02-07,7,25,,
SHIP0003611,WH02,,DHL,2023-11-29,7,3,1,-100
SHIP0003612,WH02,North,Delhivery,2023-12-08,2,1,,2000
SHIP0003613,WH02,North,DHL,2022-05-11,,1,,
SHIP0003614,wh-02,north ,,2022-05-24,2,3,,2000
SHIP0003615,,SOUTH,DHL,2022-10-09,,25,0,500
SHIP0003616,WH02,SOUTH,BlueDart,2022-10-13,,10,,2000
SHIP0003617,wh-02,,DHL,2022-05-23,5,10,,500
SHIP0003618,WH02,,,2022-07-18,,10,0,
SHIP0003619,WH01,,FedEx,2024-10-29,,25,1,
SHIP0003620,wh-02,north ,,2023-08-22,,10,0,15000
SHIP0003621,WH02,SOUTH,,2023-03-27,2,3,0,500
SHIP0003622,wh-02,North,,2022-11-17,,3,0,15000
SHIP0003623,WH02,,DHL,2024-01-21,,1,,-100
SHIP0003624,WH02,north ,FedEx,2022-04-11,2,25,0,15000
SHIP0003625,wh-02,north ,Delhivery,2022-05-29,2,1,1,500
SHIP0003626,,north ,,2023-12-17,5,1,,-100
SHIP0003627,,north ,,2022-02-06,7,3,,500
SHIP0003628,wh-02,north ,DHL,2022-01-25,,25,,-100
SHIP0003629,WH02,SOUTH,Delhivery,2024-02-03,2,3,,15000
SHIP0003630,WH01,North,Delhivery,2024-06-29,2,10,1,2000
SHIP0003631,WH02,,,2023-11-15,,3,1,15000
SHIP0003632,WH02,SOUTH,,2022-06-16,,,0,-100
SHIP0003633,wh-02,,,2022-04-25,5,3,,-100
SHIP0003634,wh-02,North,Delhivery,2023-12-02,,1,0,2000
SHIP0003635,,SOUTH,DHL,2022-12-26,5,10,,500
SHIP0003636,WH02,SOUTH,BlueDart,2023-11-18,,3,0,-100
SHIP0003637,,North,FedEx,2023-03-01,5,3,0,500
SHIP0003638,wh-02,North,,2024-09-22,5,10,,2000
SHIP0003639,,,Delhivery,2023-05-17,5,1,1,2000
SHIP0003640,WH02,north ,,2023-06-25,5,,1,2000
SHIP0003641,,North,,2024-10-22,,3,1,-100
SHIP0003642,,,Delhivery,2024-04-08,7,10,0,-100
SHIP0003643,WH01,,Delhivery,2024-12-24,5,,,-100
SHIP0003644,wh-02,SOUTH,DHL,2023-01-26,2,10,1,
SHIP0003645,wh-02,SOUTH,Delhivery,2022-12-10,2,3,,
SHIP0003646,,SOUTH,DHL,2022-04-29,7,1,1,500
SHIP0003647,WH01,north ,,2023-02-26,2,1,,2000
SHIP0003648,WH01,north ,Delhivery,2022-11-23,5,3,0,2000
SHIP0003649,WH02,,BlueDart,2022-09-28,,,0,-100
SHIP0003650,wh-02,north ,DHL,2024-04-15,2,3,0,
SHIP0003651,,North,Delhivery,2024-08-23,5,,0,500
SHIP0003652,WH02,SOUTH,,2022-07-03,7,1,1,
SHIP0003653,WH02,,DHL,2024-01-16,2,,0,2000
SHIP0003654,wh-02,North,Delhivery,2024-09-23,7,25,1,-100
SHIP0003655,wh-02,North,FedEx,2024-07-03,5,10,1,
SHIP0003656,wh-02,SOUTH,BlueDart,2024-02-19,7,25,0,500
SHIP0003657,,,Delhivery,2023-08-06,2,,0,500
SHIP0003658,wh-02,SOUTH,DHL,2022-05-14,7,1,,15000
SHIP0003659,WH01,,,2024-09-17,7,1,0,2000
SHIP0003660,WH01,north ,Delhivery,2024-03-30,,,1,15000
SHIP0003661,WH02,North,,2022-12-01,2,,0,500
SHIP0003662,WH01,,DHL,2023-08-21,7,25,0,
SHIP0003663,,,FedEx,2024-09-30,5,25,,2000
SHIP0003664,,SOUTH,DHL,2024-02-06,,25,0,
SHIP0003665,wh-02,North,BlueDart,2023-04-26,2,3,,
SHIP0003666,WH02,north ,Delhivery,2024-11-19,,25,1,-100
SHIP0003667,wh-02,,Delhivery,2023-10-22,2,,1,2000
SHIP0003668,WH01,North,DHL,2023-09-30,7,1,,2000
SHIP0003669,WH01,North,DHL,2023-04-09,5,3,0,15000
SHIP0003670,WH01,SOUTH,,2022-04-01,,1,1,-100
SHIP0003671,WH02,,DHL,2023-12-10,2,25,1,
SHIP0003672,wh-02,north ,FedEx,2024-03-22,7,1,1,500
SHIP0003673,wh-02,North,DHL,2022-05-22,7,1,,-100
SHIP0003674,WH02,SOUTH,Delhivery,2022-09-02,,,0,500
SHIP0003675,WH01,,Delhivery,2023-06-09,,,,2000
SHIP0003676,wh-02,,BlueDart,2022-07-25,7,3,1,15000
SHIP0003677,wh-02,,DHL,2024-07-12,5,,,2000
SHIP0003678,WH02,SOUTH,BlueDart,2022-12-22,7,25,1,2000
SHIP0003679,WH01,north ,,2023-04-09,5,3,0,
SHIP0003680,WH01,North,DHL,2023-03-31,7,,,500
SHIP0003681,,,DHL,2022-04-11,7,25,1,2000
SHIP0003682,wh-02,SOUTH,BlueDart,2024-08-11,5,1,,
SHIP0003683,,north ,Delhivery,2023-03-30,,1,,500
SHIP0003684,WH02,North,BlueDart,2022-11-22,7,3,0,2000
SHIP0003685,WH02,north ,,2023-07-02,7,25,0,500
SHIP0003686,wh-02,North,BlueDart,2022-11-22,5,10,0,15000
SHIP0003687,WH02,,,2024-09-29,,10,0,-100
SHIP0003688,WH02,North,BlueDart,2022-12-04,5,,1,
SHIP0003689,,North,,2023-08-18,7,10,1,15000
SHIP0003690,WH01,SOUTH,,2022-07-09,2,3,,-100
SHIP0003691,WH02,SOUTH,FedEx,2024-02-13,,3,,15000
SHIP0003692,,North,DHL,2022-05-11,2,,1,
SHIP0003693,WH02,north ,Delhivery,2022-08-30,7,25,0,500
SHIP0003694,,SOUTH,DHL,2024-02-17,,10,,
SHIP0003695,WH01,SOUTH,FedEx,2022-01-23,5,10,,
SHIP0003696,wh-02,North,Delhivery,2022-03-13,5,1,1,15000
SHIP0003697,,North,BlueDart,2022-01-29,5,25,,
SHIP0003698,,north ,DHL,2023-04-01,2,25,1,-100
SHIP0003699,,North,DHL,2024-01-18,2,,0,500
SHIP0003700,WH02,North,FedEx,2024-11-10,,3,0,2000
SHIP0003701,WH02,North,BlueDart,2023-03-18,5,3,0,
SHIP0003702,WH02,,Delhivery,2024-06-25,,,,2000
SHIP0003703,WH01,SOUTH,DHL,2024-05-24,7,1,0,500
SHIP0003704,WH02,,FedEx,2022-08-09,7,25,1,
SHIP0003705,,,BlueDart,2023-03-07,2,25,1,-100
SHIP0003706,WH01,,BlueDart,2023-10-31,2,,1,
SHIP0003707,WH02,,DHL,2022-02-11,7,1,0,500
SHIP0003708,WH01,SOUTH,BlueDart,2022-11-17,7,25,0,
SHIP0003709,wh-02,SOUTH,Delhivery,2023-01-09,7,1,0,-100
SHIP0003710,WH02,North,BlueDart,2022-05-22,5,,0,-100
SHIP0003711,WH02,North,BlueDart,2024-04-07,5,3,,-100
SHIP0003712,WH02,SOUTH,DHL,2022-05-13,5,3,,15000
